code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust,signature,stability
R7-405,alkaline_phosphatase_mean > q0.50 (75) AND platelets_min <= q0.35 (130),2,"alkaline_phosphatase_mean,platelets_min","other,organ_failure",2,1032,0.08154879494271039,0.6472868217054264,0.46027131782945735,0.18701550387596905,0.1448893650214491,0.22914164273048898,3.2822613569768152e-18,64.88453787932805,7.584496124031007,7.2,4.2934406563972775e-18,18.701550387596903,14.488936502144911,22.914164273048897,18.701550387596903,True,harm | alkaline_phosphatase > ; platelets <=,1.0
R8-52,alkaline_phosphatase_mean > q0.65 (75) AND any_vasopressor_std > q0.65 (0.1169),2,"alkaline_phosphatase_mean,any_vasopressor_std","other,perfusion",2,830,0.06558672461477677,0.6626506024096386,0.4771084337349398,0.1855421686746988,0.1387517291340942,0.2323326082153034,7.716061713378622e-15,57.73051478507184,7.711204819277109,7.3,9.348894492917485e-15,18.55421686746988,13.87517291340942,23.23326082153034,18.55421686746988,True,harm | alkaline_phosphatase > ; any_vasopressor >,1.0
R132-364,creatinine_max > q0.80 (1.6) AND nee_mcgkgmin_mean > q0.65 (0.0006669),2,"creatinine_max,nee_mcgkgmin_mean","organ_failure,perfusion",2,1040,0.08218095614381667,0.6230769230769231,0.4394230769230769,0.18365384615384617,0.1414944562834457,0.22581323602424663,1.3643416350698741e-17,63.96471262765482,7.81875,7.4,1.758094086515279e-17,18.365384615384617,14.14944562834457,22.581323602424664,18.365384615384617,True,harm | creatinine > ; nee_mcgkgmin >,1.0
R132-570,creatinine_max > q0.80 (1.6) AND sofa_mean > q0.80 (6.339),2,"creatinine_max,sofa_mean","organ_failure,severity",2,1209,0.09553536151718688,0.6451612903225806,0.46484698097601324,0.1803143093465674,0.14135447367614962,0.21927414501698517,1.176139763003939e-19,67.71222716168793,7.661621174524401,7.3,1.592717867247921e-19,18.03143093465674,14.135447367614962,21.927414501698518,18.03143093465674,True,harm | creatinine > ; sofa >,1.0
R132-480,creatinine_max > q0.80 (1.6) AND resp_rate_median > q0.65 (18.5),2,"creatinine_max,resp_rate_median","organ_failure,respiratory",2,1344,0.1062030817858554,0.6361607142857143,0.4568452380952381,0.17931547619047622,0.14229047464212147,0.21634047773883097,2.2564595999238716e-21,70.99719058828013,7.573511904761904,7.2,3.1881767794295872e-21,17.93154761904762,14.229047464212147,21.634047773883097,17.93154761904762,True,harm | creatinine > ; resp_rate >,1.0
R288-479,lactate_std > q0.65 (0.3523) AND resp_rate_mean > q0.80 (21.22),2,"lactate_std,resp_rate_mean","perfusion,respiratory",2,761,0.06013433425523509,0.621550591327201,0.442838370565046,0.17871222076215504,0.12938707917481007,0.2280373623495,1.2352849423621052e-12,53.24395840317374,7.856504599211564,7.5,1.4529816803285764e-12,17.871222076215503,12.938707917481008,22.80373623495,17.871222076215503,True,harm | lactate > ; resp_rate >,1.0
R132-408,creatinine_max > q0.80 (1.6) AND platelets_slope <= q0.35 (-0.07924),2,"creatinine_max,platelets_slope","organ_failure,organ_failure",1,771,0.06092453575661794,0.5680933852140078,0.39169909208819714,0.17639429312581062,0.12730493128271236,0.22548365496890888,1.8824224299005505e-12,48.979203612462136,7.76277561608301,7.3,2.209237169854956e-12,17.63942931258106,12.730493128271236,22.548365496890888,17.63942931258106,True,harm | creatinine > ; platelets <=,1.0
R9-76,alkaline_phosphatase_mean > q0.80 (75) AND ast_std > q0.50 (0),2,"alkaline_phosphatase_mean,ast_std","other,other",1,2037,0.16096404583168708,0.6146293568973982,0.43888070692194403,0.17574864997545414,0.1455637245741158,0.2059335753767925,3.6467486801614115e-30,79.32087788924969,7.675797741777123,7.3,7.293497360322823e-30,17.574864997545415,14.556372457411578,20.59335753767925,17.574864997545415,True,harm | alkaline_phosphatase > ; ast >,1.0
R9-35,alkaline_phosphatase_mean > q0.80 (75) AND alt_std > q0.20 (0),2,"alkaline_phosphatase_mean,alt_std","other,other",1,2030,0.1604109047807191,0.6118226600985222,0.43940886699507387,0.1724137931034483,0.14215497650737052,0.20267260969952605,5.847045486600745e-29,77.68193328323318,7.688177339901478,7.3,1.1079014643020034e-28,17.24137931034483,14.215497650737053,20.267260969952606,17.24137931034483,True,harm | alkaline_phosphatase > ; alt >,1.0
R132-225,creatinine_max > q0.80 (1.6) AND heart_rate_max <= q0.35 (87),2,"creatinine_max,heart_rate_max","organ_failure,perfusion",2,655,0.05175819834057685,0.5679389312977099,0.4015267175572519,0.166412213740458,0.11304017390860194,0.21978425357231407,9.887628157805095e-10,45.997010191586206,7.899541984732824,7.5,1.1224944864996976e-09,16.6412213740458,11.304017390860194,21.97842535723141,16.6412213740458,True,harm | creatinine > ; heart_rate <=,1.0
R132-375,creatinine_max > q0.80 (1.6) AND phosphorus_mean > q0.50 (3.5),2,"creatinine_max,phosphorus_mean","organ_failure,other",2,1865,0.14737258000790202,0.606970509383378,0.4407506702412869,0.16621983914209115,0.13461100429967343,0.19782867398450887,6.554420708417824e-25,77.52575979398968,7.744932975871313,7.3,1.0463980211622179e-24,16.621983914209114,13.461100429967344,19.782867398450886,16.621983914209114,True,harm | creatinine > ; phosphorus >,1.0
R1-374,alkaline_phosphatase_max > q0.35 (75) AND phosphorus_mean > q0.35 (3.5),2,"alkaline_phosphatase_max,phosphorus_mean","other,other",1,1359,0.10738838403792968,0.6210448859455482,0.4554819720382634,0.16556291390728478,0.12859844093502507,0.2025273868795445,1.6524410242490195e-18,61.034134407836966,7.642384105960265,7.3,2.1713090033176967e-18,16.55629139072848,12.859844093502506,20.252738687954448,16.55629139072848,True,harm | alkaline_phosphatase > ; phosphorus >,1.0
R132-603,creatinine_max > q0.80 (1.6) AND spo2_slope > q0.65 (0.001268),2,"creatinine_max,spo2_slope","organ_failure,respiratory",2,693,0.05476096404583169,0.556998556998557,0.3924963924963925,0.16450216450216454,0.11264040737163497,0.2163639216326941,5.067685404915939e-10,46.769420579035426,7.9326118326118324,7.5,5.764380338990477e-10,16.450216450216455,11.264040737163498,21.63639216326941,16.450216450216455,True,harm | creatinine > ; spo2 >,1.0
R288-299,lactate_std > q0.65 (0.3523) AND ldh_mean > q0.80 (187.9),2,"lactate_std,ldh_mean","perfusion,other",2,907,0.07167127617542474,0.6141124586549063,0.45093715545755236,0.1631753031973539,0.11787185905131217,0.20847874734339564,1.6699848895936183e-12,53.07400088565988,7.794707828004411,7.4,1.961902442706702e-12,16.31753031973539,11.787185905131217,20.847874734339563,16.31753031973539,True,harm | lactate > ; ldh >,1.0
R132-310,creatinine_max > q0.80 (1.6) AND ldh_std > q0.20 (0),2,"creatinine_max,ldh_std","organ_failure,other",2,1174,0.0927696562623469,0.641396933560477,0.4787052810902896,0.1626916524701874,0.12307839750779287,0.20230490743258195,8.298318375151302e-16,60.20368493478974,7.521890971039183,7.1,1.031952113547975e-15,16.26916524701874,12.307839750779287,20.230490743258194,16.26916524701874,True,harm | creatinine > ; ldh >,1.0
R1-480,alkaline_phosphatase_max > q0.35 (75) AND resp_rate_median > q0.65 (18.5),2,"alkaline_phosphatase_max,resp_rate_median","other,respiratory",2,1435,0.11339391544843935,0.6188153310104529,0.4627177700348432,0.15609756097560973,0.12008335427324045,0.192111767677979,1.9743510084394042e-17,63.862486412069075,7.490034843205575,7.1,2.5301007178410393e-17,15.609756097560973,12.008335427324045,19.211176767797898,15.609756097560973,True,harm | alkaline_phosphatase > ; resp_rate >,1.0
R9-482,alkaline_phosphatase_mean > q0.80 (75) AND resp_rate_min <= q0.20 (11),2,"alkaline_phosphatase_mean,resp_rate_min","other,respiratory",2,655,0.05175819834057685,0.601526717557252,0.45038167938931295,0.151145038167939,0.09768828380607125,0.20460179252980676,2.994538431766046e-08,41.77710099969759,7.711755725190839,7.3,3.349078847713665e-08,15.114503816793901,9.768828380607125,20.460179252980677,15.114503816793901,True,harm | alkaline_phosphatase > ; resp_rate <=,1.0
