code,label,source,n_pairs,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,stability,subsample_lo,subsample_hi,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust
C2_congestive_heart_failure_mean_dbp_slope_high_hb_med,Cluster 2 | congestive heart failure > 0 and dbp slope > mediana_cluster (-0.0254) and hemoglobin_min <= mediana_hb_cluster (8.6),comorb_lab_vital,559,0.4740608228980322,0.4400715563506261,0.03398926654740608,-0.02330053667262969,0.09306797853309477,0.29925187032418954,0.992,0.008948545861297539,0.06040268456375839,7.30912343470483,7.3,0.4190091077167864,3.4,-2.33,9.31,3.4,False
C1_congestive_heart_failure_mean_glucose_lab_median_high,Cluster 1 | congestive heart failure > 0 and glucose lab median > mediana_cluster (126),comorb_lab_vital,501,0.5828343313373253,0.5489021956087824,0.033932135728542916,-0.0279940119760479,0.09386227544910175,0.3092269326683292,0.976,0.0024937655860349127,0.06483790523690773,7.611976047904192,7.3,0.4293291105413817,3.39,-2.8,9.39,3.39,False
C2_diabetes_without_cc_mean_sodium_mean_high,Cluster 2 | diabetes without cc > 0 and sodium mean > mediana_cluster (140),comorb_lab_vital,295,0.36610169491525424,0.4,-0.03389830508474576,-0.1152542372881356,0.03728813559322034,0.46384039900249374,0.944,-0.07531779661016949,0.00423728813559322,8.219661016949154,8.0,0.5888808146514329,-3.39,-11.53,3.73,3.39,False
C1_cerebrovascular_disease_mean_spo2_slope_high_hb_med,Cluster 1 | cerebrovascular disease > 0 and spo2 slope > mediana_cluster (-6.08e-05) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,149,0.5838926174496645,0.5503355704697986,0.03355704697986577,-0.08053691275167785,0.14093959731543623,0.6583541147132169,0.836,-0.025210084033613446,0.08403361344537816,6.639597315436241,6.7,0.7603490301105935,3.36,-8.05,14.09,3.36,False
C1_severe_liver_disease_mean_sbp_min_high,Cluster 1 | severe liver disease > 0 and sbp min > mediana_cluster (84),comorb_lab_vital,120,0.5916666666666667,0.5583333333333333,0.03333333333333333,-0.09166666666666666,0.15,0.7007481296758105,0.82,-0.020833333333333332,0.09375,7.431666666666667,7.1,0.7923474469314519,3.33,-9.17,15.0,3.33,False
C1_congestive_heart_failure_mean_mbp_mean_high_hb_med,Cluster 1 | congestive heart failure > 0 and mbp mean > mediana_cluster (73.7) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,181,0.5469613259668509,0.5138121546961326,0.03314917127071823,-0.06077348066298342,0.13812154696132597,0.5586034912718204,0.876,-0.013793103448275862,0.08810344827586211,6.731491712707181,6.8,0.6792526879522505,3.31,-6.08,13.81,3.31,False
C1_congestive_heart_failure_mean_mbp_median_high_hb_med,Cluster 1 | congestive heart failure > 0 and mbp median > mediana_cluster (72.5) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,181,0.5359116022099447,0.5027624309392266,0.03314917127071823,-0.07748618784530385,0.1327348066298341,0.5785536159600998,0.856,-0.013793103448275862,0.08810344827586211,6.725414364640883,6.8,0.6938434028106775,3.31,-7.75,13.27,3.31,False
C1_cerebrovascular_disease_mean_potassium_median_high,Cluster 1 | cerebrovascular disease > 0 and potassium median > mediana_cluster (4.1),comorb_lab_vital,181,0.574585635359116,0.5414364640883977,0.03314917127071823,-0.06643646408839778,0.13812154696132597,0.6384039900249376,0.896,-0.006896551724137931,0.08120689655172418,7.390055248618784,7.1,0.7433848659356319,3.31,-6.64,13.81,3.31,False
C1_diabetes_without_cc_mean_glucose_lab_max_high,Cluster 1 | diabetes without cc > 0 and glucose lab max > mediana_cluster (156),comorb_lab_vital,484,0.506198347107438,0.5392561983471075,-0.03305785123966942,-0.09509297520661157,0.026859504132231406,0.341645885286783,0.964,-0.059431524547803614,0.002583979328165375,7.440495867768595,7.1,0.46498318424123175,-3.31,-9.51,2.69,3.31,False
C1_diabetes_without_cc_mean_sodium_std_high_hb_med,Cluster 1 | diabetes without cc > 0 and sodium std > mediana_cluster (1.59) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,181,0.5911602209944752,0.5580110497237569,0.03314917127071823,-0.07196132596685081,0.1270718232044199,0.5885286783042394,0.916,-0.006896551724137931,0.08275862068965517,6.738121546961326,6.8,0.7023992713309245,3.31,-7.2,12.71,3.31,False
