code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust,signature,stability
R196-352-583,glucose_lab_std <= q0.35 (0) AND mbp_median > q0.65 (89) AND sofa_std <= q0.35 (0),3,"glucose_lab_std,mbp_median,sofa_std","other,perfusion,severity",3,1921,0.151797708415646,0.2576782925559604,0.45132743362831856,-0.19364914107235814,-0.22327566551484287,-0.1640226166298734,1.418617323571208e-37,98.45487988537239,11.069963560645498,13.1,4.33279645956451e-37,-19.364914107235816,-22.32756655148429,-16.402261662987343,19.364914107235816,True,benefit | glucose_lab <= ; mbp > ; sofa <=,1.0
R196-352-536,glucose_lab_std <= q0.35 (0) AND mbp_median > q0.65 (89) AND sbp_std <= q0.35 (8.594),3,"glucose_lab_std,mbp_median,sbp_std","other,perfusion,perfusion",2,2225,0.1758198340576847,0.261123595505618,0.4543820224719101,-0.19325842696629214,-0.22084768147075784,-0.16566917246182644,6.760357079149099e-43,98.4526030949907,11.172584269662922,14.0,3.006907289805581e-42,-19.325842696629213,-22.084768147075785,-16.566917246182644,19.325842696629213,True,benefit | glucose_lab <= ; mbp > ; sbp <=,1.0
R171-473-646,dbp_median > q0.65 (72) AND resp_rate_max <= q0.35 (20) AND urea_std <= q0.35 (0.6436),3,"dbp_median,resp_rate_max,urea_std","perfusion,respiratory,organ_failure",3,1997,0.15780323982615568,0.26189283925888834,0.4516775162744116,-0.18978467701552326,-0.21891005167135355,-0.16065930235969297,2.362130433401744e-37,98.38030548214483,11.522383575363046,14.0,7.109681636600994e-37,-18.978467701552326,-21.891005167135354,-16.065930235969297,18.978467701552326,True,benefit | dbp > ; resp_rate <= ; urea <=,1.0
R134-352,creatinine_mean <= q0.35 (0.9) AND mbp_median > q0.65 (89),2,"creatinine_mean,mbp_median","organ_failure,perfusion",2,1582,0.1250098775187673,0.22439949431099873,0.4532237673830594,-0.22882427307206069,-0.26083054750635926,-0.19681799863776211,1.3028145472473855e-44,98.29447025355653,9.259671302149178,8.5,6.657554514568138e-44,-22.88242730720607,-26.083054750635924,-19.681799863776213,22.88242730720607,True,benefit | creatinine <= ; mbp >,1.0
R171-195-536,dbp_median > q0.65 (72) AND glucose_lab_std <= q0.20 (0) AND sbp_std <= q0.35 (8.594),3,"dbp_median,glucose_lab_std,sbp_std","perfusion,other,perfusion",2,2240,0.17700513630975898,0.26160714285714287,0.45357142857142857,-0.1919642857142857,-0.21946588012829196,-0.16446269130027943,1.3182134541643603e-42,98.12240897398077,11.168482142857144,14.0,5.70570002548753e-42,-19.19642857142857,-21.946588012829196,-16.446269130027943,19.19642857142857,True,benefit | dbp > ; glucose_lab <= ; sbp <=,1.0
R196-261-625,glucose_lab_std <= q0.35 (0) AND hemoglobin_slope <= q0.35 (-0.006063) AND temperature_min > q0.65 (36.89),3,"glucose_lab_std,hemoglobin_slope,temperature_min","other,anemia,metabolic",3,1004,0.0793362307388384,0.21613545816733068,0.48306772908366535,-0.26693227091633465,-0.3069788824524229,-0.2268856593802464,5.255802276836387e-39,98.1128580175225,8.107270916334661,8.0,1.7774724901254253e-38,-26.693227091633464,-30.69788824524229,-22.68856593802464,26.693227091633464,True,benefit | glucose_lab <= ; hemoglobin <= ; temperature >,1.0
R233-352-583,heart_rate_median <= q0.35 (70) AND mbp_median > q0.65 (89) AND sofa_std <= q0.35 (0),3,"heart_rate_median,mbp_median,sofa_std","perfusion,perfusion,severity",2,1941,0.1533781114184117,0.25656877897990726,0.46264811952601753,-0.20607934054611027,-0.23556743306105554,-0.176591248031165,1.0496463424397444e-42,98.05527886105533,10.513086038124678,9.7,4.619081021358512e-42,-20.607934054611025,-23.556743306105552,-17.659124803116498,20.607934054611025,True,benefit | heart_rate <= ; mbp > ; sofa <=,1.0
R352-491-625,mbp_median > q0.65 (89) AND resp_rate_std <= q0.35 (1.78) AND temperature_min > q0.65 (36.89),3,"mbp_median,resp_rate_std,temperature_min","perfusion,respiratory,metabolic",3,1754,0.13860134334255236,0.2571265678449259,0.4589509692132269,-0.20182440136830104,-0.2328439488557099,-0.1708048538808922,3.020246252015878e-37,98.04974233843747,10.86043329532497,10.5,9.034259031300717e-37,-20.182440136830103,-23.28439488557099,-17.08048538808922,20.182440136830103,True,benefit | mbp > ; resp_rate <= ; temperature >,1.0
R196-408-529,glucose_lab_std <= q0.35 (0) AND platelets_slope <= q0.35 (-0.07924) AND sbp_min > q0.65 (102),3,"glucose_lab_std,platelets_slope,sbp_min","other,organ_failure,perfusion",3,793,0.06266297905966021,0.1841109709962169,0.4842370744010088,-0.30012610340479196,-0.344144156088582,-0.2561080507210019,9.844799473197636e-41,98.03888257649317,8.480201765447665,8.0,3.727143403691011e-40,-30.012610340479196,-34.4144156088582,-25.61080507210019,30.012610340479196,True,benefit | glucose_lab <= ; platelets <= ; sbp >,1.0
R171-195-556,dbp_median > q0.65 (72) AND glucose_lab_std <= q0.20 (0) AND sodium_std <= q0.35 (0.2074),3,"dbp_median,glucose_lab_std,sodium_std","perfusion,other,other",2,2613,0.20647965231133938,0.26865671641791045,0.446230386528894,-0.17757367011098357,-0.20311107759231703,-0.15203626262965012,2.6995793283925064e-42,98.0329408776955,11.433716035208572,14.0,1.1420539828356336e-41,-17.757367011098356,-20.311107759231703,-15.203626262965011,17.757367011098356,True,benefit | dbp > ; glucose_lab <= ; sodium <=,1.0
