sign,bases,n_rules,n_pairs_union,diff_med_pp,diff_min_pp,diff_max_pp,dominant_k2,dominant_k2_pct,dominant_k3,dominant_k3_pct,k2_c0_pct,k2_c0_enrich_pp,k2_c1_pct,k2_c1_enrich_pp,k3_c0_pct,k3_c0_enrich_pp,k3_c1_pct,k3_c1_enrich_pp,k3_c2_pct,k3_c2_enrich_pp,k2_most_enriched_cluster,k2_most_enriched_pp,k3_most_enriched_cluster,k3_most_enriched_pp
benefit,dbp + hemoglobin + sodium,2,1102,-33.541769069216684,-33.543165467625904,-33.540372670807464,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + hemoglobin + potassium,2,1096,-33.039029191570954,-33.3652924256951,-32.712765957446805,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + platelets + potassium,2,1092,-32.07483679924625,-32.478632478632484,-31.671041119860018,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,glucose lab + hemoglobin + sbp,2,1085,-30.88222288738622,-31.54056517775752,-30.22388059701492,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,glucose lab + platelets + sbp,2,1067,-30.66787132685526,-31.32313231323132,-30.0126103404792,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + glucose lab + glucose vital,2,996,-31.00869545526595,-31.158714703018497,-30.85867620751341,c0,99.74424552429667,c2,99.65899403239557,99.74424552429667,24.943771403395843,0.2557544757033248,-24.943771403395846,0.08525149190110827,-1.2027769553529417,0.2557544757033248,-25.054399613589446,99.65899403239557,26.257176568942384,c0,24.943771403395843,c2,26.257176568942384
benefit,glucose lab + platelets + temperature,2,995,-27.174834198575955,-27.75290957923008,-26.596758817921828,c0,99.9131190269331,c2,99.9131190269331,99.9131190269331,25.112644906032273,0.08688097306689835,-25.112644906032273,0.0,-1.28802844725405,0.08688097306689835,-25.223273116225872,99.9131190269331,26.51130156347992,c0,25.112644906032273,c2,26.51130156347992
benefit,glucose lab + hemoglobin + temperature,2,982,-27.384172231262745,-28.075117370892023,-26.693227091633464,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + platelets + urea,2,967,-31.573630831643,-31.947261663286,-31.2,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + hemoglobin + urea,2,937,-31.475611983924008,-32.173913043478265,-30.77731092436975,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,heart rate + mbp,1,2585,-19.183673469387752,-19.183673469387752,-19.183673469387752,c0,99.18367346938776,c2,96.48351648351648,99.18367346938776,24.383199348486926,0.8163265306122449,-24.383199348486926,2.7001569858712715,1.4121285386172215,0.8163265306122449,-24.493827558680525,96.48351648351648,23.081699020063297,c0,24.383199348486926,c2,23.081699020063297
benefit,glucose lab + resp rate,1,2542,-16.733312826822516,-16.733312826822516,-16.733312826822516,c0,99.72316210396801,c2,95.26299600123039,99.72316210396801,24.922687983067178,0.27683789603199016,-24.92268798306718,4.460166102737619,3.1721376554835694,0.27683789603199016,-25.03331619326078,95.26299600123039,21.861178537777207,c0,24.922687983067178,c2,21.861178537777207
