code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,feature,feature_base,axis,op,thr,q
R222,heart_rate_delta > q0.65 (6.48),1,heart_rate_delta,"perfusion,perfusion",1,4429,0.34998024496246544,0.3422894558591104,0.44479566493565137,-0.10250620907654096,-0.12274157071018198,-0.08227084744289993,3.120939467017757e-23,68.21863302701806,9.875231429216528,8.9,heart_rate_delta,heart_rate,perfusion,>,6.479577407559624,0.65
R180,dbp_std <= q0.20 (4.879),1,dbp_std,"perfusion,perfusion",1,2531,0.2,0.305807981035164,0.44053733702094033,-0.13472935598577634,-0.1611169483097766,-0.10834176366177609,1.4150989457958866e-23,67.78105221309988,11.211260371394705,13.6,dbp_std,dbp,perfusion,<=,4.878522559807984,0.2
R500,sapsii_mean > q0.65 (43),1,sapsii_mean,"severity,severity",1,4399,0.3476096404583169,0.5503523528074562,0.4485110252330075,0.10184132757444869,0.08105394199256974,0.12262871315632765,7.809652933020812e-22,67.54621732810284,8.91036599227097,8.1,sapsii_mean,sapsii,severity,>,43.0,0.65
R504,sapsii_median > q0.65 (43),1,sapsii_median,"severity,severity",1,4399,0.3476096404583169,0.5503523528074562,0.4485110252330075,0.10184132757444869,0.08105394199256974,0.12262871315632765,7.809652933020812e-22,67.54621732810284,8.91036599227097,8.1,sapsii_median,sapsii,severity,>,43.0,0.65
R496,sapsii_max > q0.65 (43),1,sapsii_max,"severity,severity",1,4399,0.3476096404583169,0.5503523528074562,0.4485110252330075,0.10184132757444869,0.08105394199256974,0.12262871315632765,7.809652933020812e-22,67.54621732810284,8.91036599227097,8.1,sapsii_max,sapsii,severity,>,43.0,0.65
R508,sapsii_min > q0.65 (43),1,sapsii_min,"severity,severity",1,4399,0.3476096404583169,0.5503523528074562,0.4485110252330075,0.10184132757444869,0.08105394199256974,0.12262871315632765,7.809652933020812e-22,67.54621732810284,8.91036599227097,8.1,sapsii_min,sapsii,severity,>,43.0,0.65
R497,sapsii_max > q0.80 (51),1,sapsii_max,"severity,severity",1,2355,0.1860924535756618,0.5940552016985138,0.45520169851380043,0.13885350318471334,0.11060599172868409,0.1671010146407426,5.712596596572937e-22,67.38330322965865,8.762972399150744,8.0,sapsii_max,sapsii,severity,>,51.0,0.8
R505,sapsii_median > q0.80 (51),1,sapsii_median,"severity,severity",1,2355,0.1860924535756618,0.5940552016985138,0.45520169851380043,0.13885350318471334,0.11060599172868409,0.1671010146407426,5.712596596572937e-22,67.38330322965865,8.762972399150744,8.0,sapsii_median,sapsii,severity,>,51.0,0.8
R509,sapsii_min > q0.80 (51),1,sapsii_min,"severity,severity",1,2355,0.1860924535756618,0.5940552016985138,0.45520169851380043,0.13885350318471334,0.11060599172868409,0.1671010146407426,5.712596596572937e-22,67.38330322965865,8.762972399150744,8.0,sapsii_min,sapsii,severity,>,51.0,0.8
R501,sapsii_mean > q0.80 (51),1,sapsii_mean,"severity,severity",1,2355,0.1860924535756618,0.5940552016985138,0.45520169851380043,0.13885350318471334,0.11060599172868409,0.1671010146407426,5.712596596572937e-22,67.38330322965865,8.762972399150744,8.0,sapsii_mean,sapsii,severity,>,51.0,0.8
R133,creatinine_mean <= q0.20 (0.8143),1,creatinine_mean,"organ_failure,organ_failure",1,2533,0.20015804030027656,0.2854322937228583,0.4192656928543229,-0.13383339913146464,-0.15988336603808617,-0.1077834322248431,7.526261245687514e-24,67.35690187765951,8.151164626924595,7.9,creatinine_mean,creatinine,organ_failure,<=,0.8142857142857142,0.2
R556,sodium_std <= q0.35 (0.2074),1,sodium_std,"other,other",1,4430,0.3500592651126037,0.32076749435665913,0.4216704288939052,-0.10090293453724608,-0.12091320900416958,-0.08089266007032259,4.9131803484460874e-23,67.15922255219235,11.463453724604966,14.0,sodium_std,sodium,other,<=,0.20740296276074305,0.35
R229,heart_rate_mean <= q0.35 (73.59),1,heart_rate_mean,"perfusion,perfusion",1,4429,0.34998024496246544,0.33145179498758187,0.4321517272522014,-0.10069993226461954,-0.12082587093130766,-0.08057399359793142,1.0521138864864398e-22,67.01654257720276,10.044298938812373,9.0,heart_rate_mean,heart_rate,perfusion,<=,73.58986382322713,0.35
R147,creatinine_slope <= q0.20 (-0.0001218),1,creatinine_slope,"organ_failure,organ_failure",1,2499,0.19747135519557488,0.29811924769907966,0.43177270908363347,-0.1336534613845538,-0.16008865523601126,-0.10721826753309635,3.7835941125534247e-23,66.81336400933647,8.358383353341337,8.1,creatinine_slope,creatinine,organ_failure,<=,-0.00012181290091732482,0.2
R577,sofa_min <= q0.35 (1),1,sofa_min,"severity,severity",1,4743,0.374792572105887,0.3213156230234029,0.41830065359477125,-0.09698503057136837,-0.1163165924579038,-0.07765346868483294,8.10220530236969e-23,66.79304908658494,9.642504743833015,8.6,sofa_min,sofa,severity,<=,1.0,0.35
R576,sofa_min <= q0.20 (1),1,sofa_min,"severity,severity",1,4743,0.374792572105887,0.3213156230234029,0.41830065359477125,-0.09698503057136837,-0.1163165924579038,-0.07765346868483294,8.10220530236969e-23,66.79304908658494,9.642504743833015,8.6,sofa_min,sofa,severity,<=,1.0,0.2
R275,lactate_mean > q0.65 (1.717),1,lactate_mean,"perfusion,perfusion",1,4429,0.34998024496246544,0.34996613230977647,0.44931135696545493,-0.09934522465567847,-0.11964137584706813,-0.0790490734642888,8.492256747323438e-22,66.11497473984129,8.508534657936329,8.1,lactate_mean,lactate,perfusion,>,1.7168167296569459,0.65
R555,sodium_std <= q0.20 (0),1,sodium_std,"other,other",1,4355,0.3441327538522323,0.32261768082663606,0.4206659012629162,-0.09804822043628014,-0.11824101895531008,-0.0778554219172502,1.782804018338331e-21,64.70439716610582,11.510952927669345,14.0,sodium_std,sodium,other,<=,0.0,0.2
R284,lactate_slope > q0.65 (0.0002952),1,lactate_slope,"perfusion,perfusion",1,4372,0.34547609640458316,0.3419487648673376,0.43915827996340345,-0.09720951509606585,-0.11755991979442204,-0.07685911039770965,7.787244350379491e-21,64.27600167700848,8.792863677950596,8.3,lactate_slope,lactate,perfusion,>,0.00029516687694799445,0.65
R141,creatinine_median > q0.80 (1.3),1,creatinine_median,"organ_failure,organ_failure",1,2421,0.19130778348478863,0.5790995456422966,0.4489880214787278,0.1301115241635688,0.1021949713776815,0.1580280769494561,6.538777418877523e-20,64.01962988921773,7.739446509706733,7.4,creatinine_median,creatinine,organ_failure,>,1.3,0.8
R346,mbp_mean <= q0.20 (69.92),1,mbp_mean,"perfusion,perfusion",1,2531,0.2,0.5416831291979455,0.4144606874753062,0.1272224417226393,0.09992470382575634,0.15452017961952225,6.560304123969557e-20,64.00439534492132,8.689055709205848,7.9,mbp_mean,mbp,perfusion,<=,69.92220137585991,0.2
R568,sofa_mean <= q0.35 (2.368),1,sofa_mean,"severity,severity",1,4237,0.33480837613591463,0.31272126504602316,0.4106679254189285,-0.09794666037290534,-0.11830111619531242,-0.07759220455049826,4.0381063718217304e-21,63.75567743719432,10.237030918102432,9.3,sofa_mean,sofa,severity,<=,2.3684210526315788,0.35
R155,creatinine_std > q0.80 (0.2174),1,creatinine_std,"organ_failure,organ_failure",1,2530,0.1999209798498617,0.5600790513833992,0.433596837944664,0.12648221343873517,0.09915030025544305,0.1538141266220273,1.1882989776879026e-19,63.61942179900353,7.885296442687746,7.4,creatinine_std,creatinine,organ_failure,>,0.21739889823490113,0.8
R572,sofa_median <= q0.35 (2),1,sofa_median,"severity,severity",1,4414,0.34879494271039113,0.3173991844132306,0.41277752605346624,-0.09537834164023562,-0.11536634970277744,-0.0753903335776938,8.545016717471766e-21,63.367406314712916,10.144222927050295,9.1,sofa_median,sofa,severity,<=,2.0,0.35
